# Kiwix English ZIM best/latest files - v20260402l
# Generated: 2026-04-02 17:38:15
# Total files: 568
# Total size: 1.09 TiB
# Format: filename|size_human|size_bytes|url|torrent_url

coreyms_en_python-tutorials_2026-04.zim|2.00 GiB|2147483648|https://download.kiwix.org/zim/videos/coreyms_en_python-tutorials_2026-04.zim|https://download.kiwix.org/zim/videos/coreyms_en_python-tutorials_2026-04.zim.torrent
coreyms_en_sql-tutorials_2026-04.zim|22.00 MiB|23068672|https://download.kiwix.org/zim/videos/coreyms_en_sql-tutorials_2026-04.zim|https://download.kiwix.org/zim/videos/coreyms_en_sql-tutorials_2026-04.zim.torrent
craftcms.stackexchange.com_en_all_2026-02.zim|60.00 MiB|62914560|https://download.kiwix.org/zim/stack_exchange/craftcms.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/craftcms.stackexchange.com_en_all_2026-02.zim.torrent
crafts.stackexchange.com_en_all_2026-02.zim|54.00 MiB|56623104|https://download.kiwix.org/zim/stack_exchange/crafts.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/crafts.stackexchange.com_en_all_2026-02.zim.torrent
crashcourse_en_all_2026-02.zim|21.00 GiB|22548578304|https://download.kiwix.org/zim/other/crashcourse_en_all_2026-02.zim|https://download.kiwix.org/zim/other/crashcourse_en_all_2026-02.zim.torrent
crypto.stackexchange.com_en_all_2026-02.zim|176.00 MiB|184549376|https://download.kiwix.org/zim/stack_exchange/crypto.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/crypto.stackexchange.com_en_all_2026-02.zim.torrent
cs.stackexchange.com_en_all_2026-02.zim|264.00 MiB|276824064|https://download.kiwix.org/zim/stack_exchange/cs.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/cs.stackexchange.com_en_all_2026-02.zim.torrent
cseducators.stackexchange.com_en_all_2026-02.zim|16.00 MiB|16777216|https://download.kiwix.org/zim/stack_exchange/cseducators.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/cseducators.stackexchange.com_en_all_2026-02.zim.torrent
cstheory.stackexchange.com_en_all_2026-02.zim|71.00 MiB|74448896|https://download.kiwix.org/zim/stack_exchange/cstheory.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/cstheory.stackexchange.com_en_all_2026-02.zim.torrent
dandwiki_en_all_maxi_2025-04.zim|1.30 GiB|1395864371|https://download.kiwix.org/zim/other/dandwiki_en_all_maxi_2025-04.zim|https://download.kiwix.org/zim/other/dandwiki_en_all_maxi_2025-04.zim.torrent
